countryId;name;
norge;Norge;
danmark;Danmark;
tyskland;Tyskland;
portugal;Portugal;
finland;Finland;
sverige;Sverige;
frankrike;Frankrike;
hellas;Hellas;
skottland;Skottland;
italia;Italia;
usa;USA;
irland;Irland;
canada;Canada;
nederland;Nederland;
england;England;
trinidadtobago;Trinidad,Tobago;
mexico;Mexico;
spania;Spania;
chile;Chile;
panama;Panama;
martinique;Martinique;
mauritius;Mauritius;
australia;Australia;
sorafrika;Sør-Afrika;
japan;Japan;
sveits;Sveits;
wales;Wales;
osterrike;Østerrike;
ungarn;Ungarn;
cuba;Cuba;
belgia;Belgia;
storbritannia;Storbritannia;
argentina;Argentina;
newzealand;New Zealand;
island;Island;
polen;Polen;
guatemala;Guatemala;
jamaica;Jamaica;
bahamas;Bahamas;
libanon;Libanon;
dominikrep;Dominik. rep.;
antillene;Antillene;
thailand;Thailand;
eu;EU;
moldova;Moldova;
tsjekkia;Tsjekkia;
india;India;
peru;Peru;
taiwan;Taiwan;
faeroyene;Færøyene;
barbados;Barbados;
latvia;Latvia;
ovrige;Øvrige;
estland;Estland;
uruguay;Uruguay;
georgia;Georgia;
kroatia;Kroatia;
bermuda;Bermuda;
brasil;Brasil;
litauen;Litauen;
britjomfruoy;Brit. Jomfruøy.;
venezuela;Venezuela;
russland;Russland;
tyrkia;Tyrkia;
guyana;Guyana;
amerjomfruoy;Amer. Jomfruøy.;
puertorico;Puerto Rico;
marokko;Marokko;
luxemburg;Luxemburg;
montenegro;Montenegro;
serbiamonten;Serbia/Monten.;
bosniaherceg;Bosnia-Herceg.;
slovenia;Slovenia;
makedonia;Makedonia;
kina;Kina;
bulgaria;Bulgaria;
