packagingId;volume;
engangsflaskeravglass;0.70;
engangsflaskeravglass;0.35;
pet;0.50;
engangsflaskeravglass;0.75;
engangsflaskeravglass;0.38;
engangsflaskeravglass;0.05;
engangsflaskeravglass;0.20;
engangsflaskeravglass;3.00;
glassflaskeoverellerlik4ltr;4.50;
engangsflaskeravglass;0.50;
engangsflaskeravglass;0.10;
engangsflaskeravglass;1.00;
pet;0.05;
engangsflaskeravglass;0.04;
engangsflaskeravglass;0.25;
engangsflaskeravglass;1.50;
bibunder4ltr;3.00;
bibunder4ltr;2.00;
engangsflaskeravglass;0.19;
glassflaskeoverellerlik4ltr;6.00;
flerforpakningavglass;0.20;
flerforpakningavglass;0.24;
biboverellerlik4ltr;10.00;
engangsflaskeravglass;6.00;
engangsflaskeravglass;0.33;
engangsflaskeravglass;0.40;
flerforpakningavglass;0.75;
tetrapakelopak;1.00;
engangsflaskeravglass;0.62;
norskolflaskepant;0.33;
engangsflaskeravglass;0.63;
bibunder4ltr;2.90;
flerforpakningavpappemballasje;0.75;
metallemballasjeresirkipant;0.50;
engangsflaskeravglass;0.28;
pet;0.75;
engangsflaskeravglass;0.72;
engangsflaskeravglass;0.30;
pet;0.70;
bibunder4ltr;2.25;
bibunder4ltr;0.10;
engangsflaskeravglass;4.50;
pet;1.00;
pet;0.35;
bibunder4ltr;0.50;
engangsflaskeravglass;1.75;
metallemballasjeikkepant;0.33;
bibunder4ltr;1.50;
engangsflaskeravglass;0.66;
pet;0.10;
engangsflaskeravglass;0.55;
flerforpakningavpappemballasje;1.50;
pet;0.20;
flerforpakningavglass;0.06;
norskolbokspant;0.33;
flerforpakningavglass;0.50;
tetrapakelopak;0.25;
norskolbokspant;0.50;
engangsflaskeravglass;0.65;
glassflaskeoverellerlik4ltr;9.00;
metallemballasjegrontpunktikkepant;0.70;
metallemballasjegrontpunktikkepant;0.25;
metallemballasjegrontpunktikkepant;0.20;
metallemballasjeresirkipant;0.33;
engangsflaskeravglass;0.60;
tetrapakelopak;0.50;
engangsflaskeravglass;0.12;
emballasjealkoholfristillevin;0.70;
flerforpakningavglass;0.99;
engangsflaskeravglass;0.03;
flerforpakningavglass;0.25;
flerforpakningavpet;0.50;
glassflaskeoverellerlik4ltr;5.00;
metallemballasjeresirkiipant;0.25;
metallemballasjeikkepant;0.20;
metallemballasjeresirkipant;0.20;
flerforpakningavpappemballasje;1.00;
glassflaskeoverellerlik4ltr;15.00;
bibunder4ltr;0.19;
pet;0.04;
flerforpakningavpet;0.75;
engangsflaskeravglass;0.45;
pet;0.19;
metallemballasjeikkepant;1.00;
engangsflaskeravglass;5.00;
