regionId;name;
ovrige-norge;Øvrige;
ovrige-danmark;Øvrige;
ovrige-tyskland;Øvrige;
douro;Douro;
ovrige-finland;Øvrige;
ovrige-sverige;Øvrige;
cognactradisjonell;Cognac Tradisjonell;
cognacbrut;Cognac Brut;
ovrige-hellas;Øvrige;
ovrige-skottland;Øvrige;
orkneyisland;Orkney Island;
speyside;Speyside;
ovrige-italia;Øvrige;
tennessee;Tennessee;
ovrige-irland;Øvrige;
ovrige-usa;Øvrige;
ovrige-canada;Øvrige;
ovrige-nederland;Øvrige;
ovrige-england;Øvrige;
ovrige-trinidadtobago;Øvrige;
ovrige-mexico;Øvrige;
ovrige-frankrike;Øvrige;
calvados;Calvados;
veneto;Veneto;
ovrige-spania;Øvrige;
bordeaux;Bordeaux;
rioja;Rioja;
rhnesor;Rhône Sør;
toscana;Toscana;
setubal;Setubal;
navarra;Navarra;
alsace;Alsace;
loire;Loire;
mosel;Mosel;
rheinhessen;Rheinhessen;
lazio;Lazio;
catalonia;Catalonia;
minho;Minho;
ovrige-portugal;Øvrige;
champagne;Champagne;
cava;Cava;
emiliaromagna;Emilia-Romagna;
piemonte;Piemonte;
centralvalley;Central Valley;
kentucky;Kentucky;
burgund;Burgund;
vinhoverde;Vinho Verde;
montillamoriles;Montilla-Moriles;
akershus;Akershus;
sicilia;Sicilia;
ovrige-panama;Øvrige;
buskerud;Buskerud;
telemark;Telemark;
ovrige-martinique;Øvrige;
languedocroussillon;Languedoc-Roussillon;
ovrige-mauritius;Øvrige;
rhnenord;Rhône Nord;
castillaylen;Castilla y León;
bobovalley;Bío-Bío Valley;
abruzzo;Abruzzo;
victoria;Victoria;
hordaland;Hordaland;
lombardia;Lombardia;
coastalregion;Coastal Region;
california;California;
puglia;Puglia;
westernaustralia;Western Australia;
ovrige-sorafrika;Øvrige;
ronda;Ronda;
marche;Marche;
friuliveneziagiuli;Friuli-Venezia Giuli;
beiras;Beiras;
maipo;Maipo;
pfalz;Pfalz;
rheingau;Rheingau;
bornholm;Bornholm;
ovrige-japan;Øvrige;
southeasternaustra;South Eastern Austra;
sorvest;Sørvest;
valais;Valais;
sonoma;Sonoma;
austagder;Aust-Agder;
campbeltown;Campbeltown;
ovrige-wales;Øvrige;
nahe;Nahe;
burgenland;Burgenland;
campania;Campania;
calabria;Calabria;
provence;Provence;
tokaj;Tokaj;
skye;Skye;
southaustralia;South Australia;
islay;Islay;
ovrige-cuba;Øvrige;
jerez;Jerez;
kremstal;Kremstal;
kamptal;Kamptal;
oregon;Oregon;
trentinoaltoadige;Trentino-Alto Adige;
ovrige-belgia;Øvrige;
sognogfjordane;Sogn og Fjordane;
somontano;Somontano;
ovrige-storbritannia;Øvrige;
galicia;Galicia;
colchagua;Colchagua;
troms;Troms;
wachau;Wachau;
moselsaarruwer;Mosel-Saar-Ruwer;
highland;Highland;
jura;Jura;
mendoza;Mendoza;
marlborough;Marlborough;
herefordshire;Herefordshire;
castillalamancha;Castilla-La Mancha;
ovrige-island;Øvrige;
casablanca;Casablanca;
ovrige-polen;Øvrige;
ovrige-guatemala;Øvrige;
ovrige-jamaica;Øvrige;
umbria;Umbria;
armagnac;Armagnac;
ovrige-bahamas;Øvrige;
mlaga;Málaga;
rapelvalley;Rapel Valley;
westerncape;Western Cape;
baden;Baden;
bekaavalley;Bekaa Valley;
ovrige-dominikrep;Øvrige;
liguria;Liguria;
lamancha;La Mancha;
riasbaixas;Rias Baixas;
paarl;Paarl;
ovrige-antillene;Øvrige;
villny;Villány;
westhighland;West Highland;
charente;Charente;
ovrige-thailand;Øvrige;
swartland;Swartland;
weinviertel;Weinviertel;
valencia;Valencia;
wagram;Wagram;
ovrige-osterrike;Øvrige;
elquivalley;Elqui Valley;
ovrige-eu;Øvrige;
toro;Toro;
rueda;Rueda;
riberadelduero;Ribera del Duero;
utielrequena;Utiel-Requena;
ovrige-chile;Øvrige;
stellenbosch;Stellenbosch;
mull;Mull;
almansa;Almansa;
castilla;Castilla;
ovrige-moldova;Øvrige;
newsouthwales;New South Wales;
rogaland;Rogaland;
venezie;Venezie;
centralhighland;Central Highland;
lowland;Lowland;
peloponnes;Peloponnes;
nemea;Nemea;
ovrige-tsjekkia;Øvrige;
ovrige-ungarn;Øvrige;
washington;Washington;
ovrige-india;Øvrige;
niedersterreich;Niederösterreich;
wien;Wien;
ica;Ica;
savoie;Savoie;
ovrige-taiwan;Øvrige;
walkerbay;Walker Bay;
sdsteiermark;Südsteiermark;
lisboa;Lisboa;
jumilla;Jumilla;
otago;Otago;
wairarapa;Wairarapa;
hawkesbay;Hawke's Bay;
vestfold;Vestfold;
curic;Curicó;
weststeiermark;Weststeiermark;
valdepeas;Valdepeñas;
ribatejo;Ribatejo;
bierzo;Bierzo;
ovrige-faeroyene;Øvrige;
ovrige-barbados;Øvrige;
ovrige-latvia;Øvrige;
tajbordldunntl;Tajbor Dél-Dunántúl;
salta;Salta;
northhighland;North Highland;
ovrige-sveits;Øvrige;
franken;Franken;
samos;Samos;
arran;Arran;
valledaosta;Valle d'Aosta;
porto;Porto;
terrasdosado;Terras do Sado;
ontario;Ontario;
ovrige-ovrige;Øvrige;
ovrige-estland;Øvrige;
ovrige-uruguay;Øvrige;
maule;Maule;
ovrige-georgia;Øvrige;
ovrige-peru;Øvrige;
cariena;Cariñena;
madeira;Madeira;
ovrige-newzealand;Øvrige;
basilicata;Basilicata;
nelson;Nelson;
sortrondelag;Sør-Trøndelag;
capeagulhas;Cape Agulhas;
tokajhegyalja;Tokaj-Hegyalja;
ovrige-argentina;Øvrige;
cachapoalvalley;Cachapoal Valley;
neusiedlersee;Neusiedlersee;
ovrige-kroatia;Øvrige;
calchaquivalley;Calchaqui Valley;
darling;Darling;
aragon;Aragon;
larioja;La Rioja;
steiermark;Steiermark;
dunntl;Dunántúl;
mittelrhein;Mittelrhein;
murcia;Murcia;
madrid;Madrid;
constantia;Constantia;
sardinia;Sardinia;
campodeborja;Campo de Borja;
rhin;Rhin;
ovrige-bermuda;Øvrige;
ovrige-brasil;Øvrige;
robertson;Robertson;
ovrige-litauen;Øvrige;
estremadura;Estremadura;
ovrige-australia;Øvrige;
elgin;Elgin;
breederivervalley;Breede River Valley;
ovrige-britjomfruoy;Øvrige;
molise;Molise;
oslo;Oslo;
weinlandsterreich;Weinland Österreich;
tasmania;Tasmania;
ostfold;Østfold;
ovrige-venezuela;Øvrige;
korsika;Korsika;
sanantonio;San Antonio;
bajoaragn;Bajo Aragón;
ovrige-russland;Øvrige;
ovrige-tyrkia;Øvrige;
ovrige-guyana;Øvrige;
alicante;Alicante;
valledeguadalupe;Valle de Guadalupe;
limar;Limarí;
leydavalley;Leyda Valley;
kreta;Kreta;
ovrige-amerjomfruoy;Øvrige;
extremadura;Extremadura;
alentejo;Alentejo;
wrttemberg;Württemberg;
olifantsriver;Olifantsriver;
ovrige-puertorico;Øvrige;
overberg;Overberg;
ovrige-marokko;Øvrige;
ovrige-luxemburg;Øvrige;
ovrige-montenegro;Øvrige;
ovrige-serbiamonten;Øvrige;
tenerife;Tenerife;
ovrige-bosniaherceg;Øvrige;
ovrige-slovenia;Øvrige;
ovrige-makedonia;Øvrige;
progreso;Progreso;
aconcaguavalley;Aconcagua Valley;
ovrige-kina;Øvrige;
hedmark;Hedmark;
rionegro;Rio Negro;
toledo;Toledo;
waipara;Waipara;
gisborne;Gisborne;
lasvioletas;Las Violetas;
vestagder;Vest-Agder;
yecla;Yecla;
povardarski;Povardarski;
zug;Zug;
valdeorras;Valdeorras;
thracianvalley;Thracian Valley;
assenovgrad;Assenovgrad;
lujndecuyo;Luján de Cuyo;
